all like: 3761
all boo: 885
like #1: davidtai12 33
like #2: abcte 27
like #3: hdotistyle 25
like #4: NCTUcs 23
like #5: taiwan540 19
like #6: Authsty 18
like #7: iamdead5566 17
like #8: rsgarlic 16
like #9: yurmom 16
like #10: jump1230 15
boo #1: edison377 22
boo #2: data1728 20
boo #3: sos976431 18
boo #4: NeGe56 12
boo #5: h965715 7
boo #6: morgen 6
boo #7: sister47 6
boo #8: talk5566 6
boo #9: vick6339 6
boo #10: HailHydra 5
